@RELATION substation_anonymized

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE Sub_ID NUMERIC
@ATTRIBUTE Deep_Node NUMERIC
@ATTRIBUTE Current_[A] NUMERIC
@ATTRIBUTE Battery_Temperature_[°C] NUMERIC
@ATTRIBUTE Ambient_Temperature_[°C] NUMERIC
@ATTRIBUTE KE_cntUp NUMERIC
@ATTRIBUTE KE_pTot NUMERIC
@ATTRIBUTE KE_qTot NUMERIC
@ATTRIBUTE loadGroups NUMERIC
@ATTRIBUTE serviceLocations NUMERIC
@ATTRIBUTE Embedding_Feature_0 NUMERIC
@ATTRIBUTE Embedding_Feature_1 NUMERIC
@ATTRIBUTE Embedding_Feature_2 NUMERIC
@ATTRIBUTE Embedding_Feature_3 NUMERIC
@ATTRIBUTE Embedding_Feature_4 NUMERIC
@ATTRIBUTE Embedding_Feature_5 NUMERIC
@ATTRIBUTE Embedding_Feature_6 NUMERIC
@ATTRIBUTE Embedding_Feature_7 NUMERIC
@ATTRIBUTE Embedding_Feature_8 NUMERIC
@ATTRIBUTE Embedding_Feature_9 NUMERIC
@ATTRIBUTE Embedding_Feature_10 NUMERIC
@ATTRIBUTE Embedding_Feature_11 NUMERIC
@ATTRIBUTE Embedding_Feature_12 NUMERIC
@ATTRIBUTE Embedding_Feature_13 NUMERIC
@ATTRIBUTE Embedding_Feature_14 NUMERIC
@ATTRIBUTE Embedding_Feature_15 NUMERIC
@ATTRIBUTE Target {0,1}

@DATA
269,11,1.0,-0.2,17.5,12.55,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
269,12,0.0,0.1,28.65,18.8,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
269,13,0.0,-0.4,24.05,19.2,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
269,14,0.0,-0.1,24.38,17.2,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
269,15,1.0,0.1,24.05,19.42,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
269,16,1.0,-0.2,20.8,13.82,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
269,17,0.0,-0.2,23.65,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
269,18,0.0,0.2,19.32,13.9,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
269,19,1.0,-0.1,22.78,13.22,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
272,1,0.0,2.4,26.38,19.1,205.0,53772.17,19737.36,99.0,31.0,0.08653607,0.90403175,0.27665508,-0.060126066,-1.5418297,0.5923207,-0.64049804,-0.46428996,-1.021021,-1.65463,-0.96457875,0.5540026,0.12079185,0.16283862,0.57545084,-0.8335583,1
272,2,0.0,-0.3,27.5,20.7,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
272,3,0.0,0.2,26.43,19.7,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
272,4,0.0,0.1,24.5,15.65,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
272,5,0.0,-0.1,25.45,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
272,6,0.0,0.2,21.1,17.3,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
272,8,0.0,-0.2,27.17,20.3,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
272,9,0.0,0.4,21.2,14.22,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
272,10,0.0,0.2,21.02,13.38,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
272,11,1.0,-0.2,17.5,12.55,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
272,12,0.0,0.2,28.65,18.8,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
272,13,0.0,-0.4,24.05,19.2,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
272,14,0.0,-0.1,24.38,17.2,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
272,15,1.0,-0.5,24.05,19.42,0.0,0.0,0.0,0.0,0.0,-0.012682648,0.015887264,-0.014384501,-0.005483346,0.00051661953,0.019777067,0.014136411,-0.01976224,-0.016732749,0.014570557,0.030172173,-0.0046740975,-0.027395181,0.030627903,0.0015256964,0.019185875,1
272,16,1.0,0.3,20.8,13.82,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
272,17,0.0,1.5,23.65,17.33,2.0,55000.0,35000.0,2.0,2.0,0.6215861,-0.4541323,-0.34239978,-0.4391346,-2.423232,1.1879542,1.8159307,-1.4970273,-0.3975598,-0.41729328,-1.3536485,2.1338828,-0.04764379,0.9571569,-0.07505296,-0.78611815,1
272,18,0.0,0.2,19.32,13.9,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
272,19,1.0,-0.1,22.78,13.22,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
270,1,0.0,0.2,26.38,19.1,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
270,2,0.0,-0.3,27.5,20.7,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
270,3,0.0,0.2,26.43,19.7,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
270,4,0.0,-0.1,24.5,15.65,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
270,5,0.0,0.1,25.45,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
270,6,0.0,0.2,21.1,17.3,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
270,8,0.0,-0.2,27.17,20.3,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
270,9,0.0,-0.2,21.2,14.22,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
270,10,0.0,0.2,21.02,13.38,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
270,11,1.0,-0.2,17.5,12.55,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
270,12,0.0,0.1,28.65,18.8,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
270,13,0.0,-0.4,24.05,19.2,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
270,14,0.0,-0.1,24.38,17.2,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
270,15,1.0,-0.1,24.05,19.42,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
270,16,1.0,-0.2,20.8,13.82,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
270,17,0.0,0.2,23.65,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
270,18,0.0,0.1,19.32,13.9,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
271,1,0.0,0.2,26.38,19.1,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
271,2,0.0,-0.3,27.5,20.7,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
271,3,0.0,0.2,26.43,19.7,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
271,4,0.0,-0.2,24.5,15.65,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
271,5,0.0,-0.1,25.45,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
271,6,0.0,-0.2,21.1,17.3,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
271,8,0.0,-0.2,27.17,20.3,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
271,9,0.0,-0.2,21.2,14.22,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
271,10,0.0,-0.4,21.02,13.38,52.0,24497.668,23190.754,34.0,24.0,-0.01287982,0.4560046,0.65506995,-0.6902437,-0.1591061,0.55238414,0.063874945,-0.12224499,-2.1498506,-0.38077056,-1.293733,1.1287793,-0.026915127,-0.18241069,1.1088908,0.20549029,1
271,11,1.0,0.3,17.5,12.55,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
271,12,0.0,0.1,28.65,18.8,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
271,13,0.0,-0.4,24.05,19.2,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
271,14,0.0,0.4,24.38,17.2,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
271,15,1.0,-0.1,24.05,19.42,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
271,16,1.0,-0.2,20.8,13.82,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
271,17,0.0,-0.2,23.65,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
271,18,0.0,0.2,19.32,13.9,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
273,1,0.0,0.2,27.2,19.9,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
273,2,0.0,-0.3,28.65,20.83,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
273,3,0.0,0.2,26.5,19.2,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
273,4,0.0,-0.2,24.92,16.3,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
273,5,0.0,0.1,25.83,20.1,109.0,54569.984,43085.74,73.0,18.0,1.3398416,0.614616,1.2794844,-0.9471341,-0.9928307,2.0608213,0.40075767,0.0065785404,-1.3678128,-0.7539152,-0.37384272,0.63690203,0.53143203,0.06661966,0.33719748,-0.4644782,0
273,6,0.0,-0.2,21.6,17.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
273,8,0.0,-0.2,28.0,20.87,10.0,5384.5786,2595.6843,10.0,7.0,-0.3091123,-1.0112553,0.239263,-0.89964294,-2.0218155,0.54333997,0.81323713,-1.0585134,-1.4762948,0.24665824,-1.5726058,1.5456997,0.52163,0.5915112,-0.1994291,-0.9724134,0
273,9,0.0,-0.1,22.4,15.0,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
273,10,0.0,0.2,22.1,13.57,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
273,11,1.0,-0.2,17.5,12.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
273,12,0.0,0.1,29.02,19.1,160.0,41264.086,13944.176,73.0,33.0,-0.007899012,0.29295123,1.2062165,-1.0425597,-1.1801057,0.10967808,0.7243159,-0.5264828,-1.1898087,-1.2332132,-0.26587903,0.5082539,-0.20773509,0.3834684,-0.39331695,-0.420369,0
273,13,0.0,-0.4,24.9,20.07,5.0,1948.468,1341.7363,4.0,4.0,1.0187303,-1.4420602,1.0429447,-1.8666046,-1.4723775,0.8526696,3.1848817,0.5877797,-2.0029178,-0.9673132,-0.58609766,3.7895539,0.2655638,-0.23443218,0.9779938,-2.1180954,0
273,14,0.0,0.1,25.55,18.38,305.0,128644.11,173328.6,96.0,232.0,0.31462288,0.18555786,0.3084881,0.3808869,-1.3000596,-0.73369175,0.28219098,-0.13838917,-1.1592302,0.15341763,-0.9324083,-0.5049364,-0.08551753,0.06405175,1.0834882,0.099497475,0
273,15,1.0,-0.1,25.78,20.95,0.0,0.0,0.0,0.0,0.0,-0.007085195,-0.022138417,0.0100246705,-0.019851934,0.011445966,-0.029612137,-0.0035584439,0.0092398785,-0.029446566,0.005919762,0.02744073,0.024899572,-0.017218594,-0.018519111,-0.008502154,-0.015892506,0
273,16,1.0,-0.2,22.02,15.05,0.0,0.0,0.0,0.0,0.0,0.007829361,0.026127413,-0.017423008,0.017956577,0.0012604035,-0.011281302,-0.015820308,0.00016423687,0.02125191,0.008802041,0.0041817017,0.007538311,0.020441074,0.007080268,-0.0009349901,-0.029919228,0
273,17,0.0,-0.2,23.75,17.33,8.0,137543.4,68158.75,6.0,7.0,0.6464574,-0.43227148,-0.41864273,-0.39632794,-2.4560974,1.1343156,1.8617986,-1.6503671,-0.43691728,-0.38603115,-1.2937064,2.1367476,-0.051525105,0.9894488,-0.1311952,-0.7928492,0
273,18,0.0,0.2,21.3,15.52,15.0,46354.17,46046.78,2.0,5.0,2.4328136,-0.33867526,2.2294188,-1.4093935,-0.92541313,2.8225133,2.855401,0.35303205,-3.0420992,0.7242014,0.27382085,1.0079381,-2.4757168,-0.030844813,3.598189,-3.597606,0
273,19,1.0,-0.1,23.72,14.3,0.0,0.0,0.0,0.0,0.0,0.0070473067,0.0061869062,-0.012605794,-0.01939058,0.0039346293,-0.0021732748,-0.020079356,-0.02898543,-0.022115933,0.023578558,0.029358257,-0.02240216,0.0038825944,0.029159356,-0.0057899226,-0.0009633694,0
276,1,0.0,0.2,27.2,19.9,286.0,74560.37,28438.32,119.0,53.0,0.08840245,0.8870583,0.28005925,-0.05482294,-1.5504915,0.600788,-0.6635441,-0.41791505,-0.99336183,-1.6667846,-1.0014794,0.53170377,0.13185337,0.19973329,0.61477625,-0.83422124,0
276,2,0.0,-0.3,28.65,20.83,36.0,24106.729,25361.455,30.0,9.0,-0.09589167,-0.9488562,1.2967874,-0.57094234,-2.6718142,-0.061984304,0.9917287,-0.8211324,-1.7280502,-1.0211097,-1.6345454,1.7804049,0.24252895,-1.2945287,-0.7004401,-1.2007022,0
276,3,0.0,0.2,26.5,19.2,186.0,59402.297,21736.8,92.0,21.0,0.022566933,0.3262735,0.45176786,-0.58527243,-0.73608184,-0.38938478,-0.7447779,-0.7272641,-1.478958,-1.3252777,-0.93456936,1.1281201,-0.51844454,0.96837354,0.13565715,-1.059515,0
276,4,0.0,-0.2,24.92,16.3,213.0,101281.66,34144.543,90.0,22.0,1.6581734,1.0533807,0.32966164,-0.9037853,-2.4585912,-0.3004052,0.7772349,0.4848754,-1.5077851,-0.687111,0.47850862,1.6513021,-0.4467481,-0.21329838,0.016783865,0.27086112,0
276,5,0.0,1.6,25.83,20.1,80.0,35338.613,24214.053,59.0,13.0,1.3228943,0.60734063,1.3193067,-0.9685884,-0.9803297,2.0787673,0.42861718,-0.01672443,-1.3420206,-0.75260746,-0.36501554,0.6285663,0.5286885,0.071609266,0.33725336,-0.4861996,1
276,6,0.0,0.2,21.6,17.4,249.0,68148.89,54018.61,93.0,29.0,1.2745603,0.33033693,1.0105458,-0.91695845,-1.4749528,0.7548158,-0.4255161,-0.8228635,-1.4587438,-0.6735281,0.2207938,0.7488596,-0.8854159,-0.49535933,0.16010061,-0.75089175,0
276,8,0.0,0.6,28.0,20.87,7.0,3353.5005,2515.955,7.0,5.0,-0.30771625,-0.9577133,0.2520098,-0.8975259,-2.004505,0.5105388,0.8037301,-1.0294238,-1.454338,0.25637498,-1.5631913,1.5425708,0.5288018,0.62280774,-0.21294068,-0.9285617,1
276,9,0.0,-0.2,22.4,15.0,53.0,24514.613,13229.16,38.0,5.0,2.0747113,2.9472537,3.0463827,-0.8996583,-1.9537073,-0.92697525,0.43980515,-2.5564957,-1.6203622,-0.19679822,0.7759768,3.1893568,-0.27407315,1.334818,0.004046549,-2.501471,0
276,10,0.0,0.2,22.1,13.57,72.0,28785.854,24967.166,39.0,37.0,-0.032375615,0.41052327,0.6216457,-0.6995158,-0.21105011,0.52371293,0.09326154,-0.09515705,-2.1166983,-0.3845508,-1.2668073,1.1197174,-0.08193627,-0.18298097,1.0672561,0.19226593,0
276,11,1.0,-0.2,17.5,12.5,0.0,0.0,0.0,0.0,0.0,-0.015987525,0.00426805,0.016978469,0.025944289,0.008719072,0.015110169,0.018235423,0.029712144,0.011612441,0.023361053,-0.019118361,-0.016066022,-0.009373864,0.002659548,-0.003826918,0.02539137,0
